episode,reward,epsilon
1,-20.13,0.9999232501089904
2,-20.24,0.9998465061085265
3,-20.15,0.9997697679981564
4,-19.91,0.9996930357774279
5,-20.26,0.9996163094458889
6,-19.73,0.9995395890030875
7,-19.81,0.9994628744485717
8,-19.92,0.9993861657818897
9,-19.91,0.9993094630025894
10,-20.55,0.999232766110219
11,-20.47,0.9991560751043269
12,-20.28,0.9990793899844611
13,-20.69,0.9990027107501699
14,-19.91,0.9989260374010015
15,-19.75,0.9988493699365043
16,-20.88,0.9987727083562267
17,-20.02,0.998696052659717
18,-20.0,0.9986194028465236
19,-14.82,0.998542758916195
20,-21.169999999999998,0.9984661208682798
21,-16.110000000000003,0.9983894887023264
22,-21.37,0.9983128624178833
23,-21.62,0.9982362420144992
24,-20.35,0.9981596274917228
25,-16.950000000000003,0.9980830188491027
26,-21.63,0.9980064160861875
27,-22.04,0.997929819202526
28,-20.66,0.997853228197667
29,-20.0,0.9977766430711592
30,-16.360000000000007,0.9977000638225516
31,-20.33,0.997623490451393
32,-19.88,0.9975469229572322
33,-20.21,0.9974703613396183
34,-20.32,0.9973938055981002
35,-15.480000000000002,0.997317255732227
36,-11.419999999999998,0.9972407117415475
37,-20.36,0.997164173625611
38,-20.0,0.9970876413839667
39,-22.54,0.9970111150161635
40,-19.92,0.9969345945217506
41,-20.44,0.9968580799002774
42,-19.91,0.9967815711512931
43,-21.44,0.9967050682743468
44,-14.970000000000002,0.9966285712689881
45,-22.46,0.9965520801347661
46,-20.35,0.9964755948712304
47,-19.82,0.9963991154779303
48,-20.04,0.9963226419544152
49,-20.0,0.9962461743002349
50,-20.2,0.9961697125149386
51,-23.08,0.996093256598076
52,-20.0,0.9960168065491968
53,-20.28,0.9959403623678504
54,-20.24,0.9958639240535867
55,-20.53,0.9957874916059553
56,-20.57,0.9957110650245058
57,-15.73,0.9956346443087881
58,-19.68,0.995558229458352
59,-22.18,0.9954818204727475
60,-20.04,0.9954054173515242
61,-20.13,0.9953290200942322
62,-20.98,0.9952526287004213
63,-21.16,0.9951762431696416
64,-21.11,0.995099863501443
65,-19.95,0.9950234896953756
66,-15.390000000000008,0.9949471217509894
67,-20.27,0.9948707596678348
68,-14.95,0.9947944034454617
69,-20.26,0.9947180530834203
70,-23.259999999999998,0.9946417085812609
71,-23.03,0.9945653699385337
72,-20.51,0.9944890371547891
73,-20.7,0.9944127102295772
74,-16.470000000000002,0.9943363891624486
75,-20.88,0.9942600739529535
76,-21.21,0.9941837646006424
77,-15.170000000000003,0.9941074611050658
78,-19.95,0.9940311634657741
79,-16.780000000000005,0.993954871682318
80,-20.02,0.9938785857542479
81,-21.93,0.9938023056811145
82,-20.419999999999998,0.9937260314624684
83,-20.72,0.9936497630978602
84,-21.58,0.9935735005868408
85,-20.22,0.9934972439289608
86,-20.0,0.9934209931237709
87,-20.0,0.993344748170822
88,-21.68,0.9932685090696649
89,-21.24,0.9931922758198506
90,-20.42,0.9931160484209298
91,-20.37,0.9930398268724536
92,-21.21,0.992963611173973
93,-21.64,0.9928874013250389
94,-5.41,0.9928111973252024
95,-21.58,0.9927349991740146
96,-17.380000000000003,0.9926588068710266
97,-22.14,0.9925826204157895
98,-21.14,0.9925064398078546
99,-20.39,0.992430265046773
100,-22.080000000000002,0.992354096132096
101,-20.04,0.992277933063375
102,-20.06,0.9922017758401611
103,-19.82,0.9921256244620059
104,-20.18,0.9920494789284606
105,-21.26,0.9919733392390767
106,-20.33,0.9918972053934056
107,-20.53,0.991821077390999
108,-20.48,0.9917449552314083
109,-18.140000000000004,0.991668838914185
110,-20.57,0.9915927284388807
111,-19.91,0.9915166238050471
112,-20.8,0.9914405250122359
113,-15.38,0.9913644320599987
114,-19.68,0.9912883449478873
115,-20.39,0.9912122636754535
116,-20.0,0.991136188242249
117,-20.45,0.9910601186478257
118,-22.1,0.9909840548917356
119,-19.94,0.9909079969735304
120,-20.28,0.9908319448927622
121,-15.700000000000005,0.9907558986489828
122,-22.02,0.9906798582417444
123,-20.48,0.990603823670599
124,-21.78,0.9905277949350986
125,-20.68,0.9904517720347953
126,-19.93,0.9903757549692414
127,-20.22,0.9902997437379889
128,-21.72,0.9902237383405902
129,-14.880000000000003,0.9901477387765975
130,-20.14,0.990071745045563
131,-20.25,0.989995757147039
132,-20.11,0.989919775080578
133,-20.02,0.9898437988457324
134,-20.11,0.9897678284420545
135,-14.770000000000001,0.9896918638690967
136,-20.26,0.9896159051264116
137,-19.88,0.9895399522135518
138,-20.22,0.9894640051300698
139,-20.74,0.9893880638755181
140,-21.82,0.9893121284494495
141,-19.95,0.9892361988514166
142,-19.69,0.9891602750809719
143,-20.71,0.9890843571376684
144,-20.33,0.9890084450210588
145,-14.64,0.9889325387306959
146,-20.39,0.9888566382661325
147,-5.770000000000003,0.9887807436269215
148,-21.64,0.9887048548126157
149,-20.0,0.9886289718227682
150,-21.19,0.9885530946569319
151,-19.41,0.9884772233146597
152,-15.690000000000003,0.9884013577955049
153,-19.5,0.9883254980990204
154,-20.48,0.9882496442247592
155,-20.22,0.9881737961722747
156,-19.97,0.98809795394112
157,-23.7,0.9880221175308482
158,-21.95,0.9879462869410127
159,-20.52,0.9878704621711667
160,-21.580000000000002,0.9877946432208635
161,-20.15,0.9877188300896564
162,-19.81,0.9876430227770989
163,-20.07,0.9875672212827444
164,-19.59,0.9874914256061463
165,-22.22,0.9874156357468582
166,-22.65,0.9873398517044335
167,-22.23,0.9872640734784258
168,-22.8,0.9871883010683886
169,-20.41,0.9871125344738757
170,-15.990000000000002,0.9870367736944407
171,-20.85,0.9869610187296372
172,-21.87,0.9868852695790189
173,-19.5,0.9868095262421397
174,-21.39,0.9867337887185533
175,-20.0,0.9866580570078137
176,-20.11,0.9865823311094747
177,-20.64,0.98650661102309
178,-18.03,0.9864308967482137
179,-21.009999999999998,0.9863551882843998
180,-16.07,0.9862794856312023
181,-15.710000000000004,0.986203788788175
182,-21.93,0.9861280977548723
183,-21.05,0.9860524125308482
184,-20.14,0.9859767331156567
185,-20.88,0.9859010595088521
186,-21.67,0.9858253917099885
187,-20.08,0.9857497297186203
188,-19.91,0.9856740735343017
189,-19.98,0.985598423156587
190,-15.880000000000003,0.9855227785850305
191,-20.43,0.9854471398191866
192,-21.92,0.9853715068586099
193,-20.29,0.9852958797028545
194,-20.0,0.9852202583514751
195,-20.06,0.9851446428040261
196,-20.52,0.9850690330600622
197,-20.06,0.9849934291191379
198,-15.860000000000007,0.9849178309808079
199,-20.06,0.9848422386446267
200,-23.11,0.9847666521101491
201,-21.580000000000002,0.9846910713769298
202,-15.480000000000002,0.9846154964445235
203,-25.17,0.9845399273124851
204,-20.84,0.9844643639803693
205,-20.49,0.984388806447731
206,-16.03,0.984313254714125
207,-15.150000000000002,0.9842377087791064
208,-21.43,0.9841621686422302
209,-14.850000000000003,0.9840866343030511
210,-20.34,0.9840111057611244
211,-16.35,0.983935583016005
212,-20.68,0.9838600660672481
213,-20.85,0.9837845549144087
214,-22.58,0.9837090495570422
215,-19.91,0.9836335499947035
216,-20.01,0.983558056226948
217,-19.81,0.983482568253331
218,-22.66,0.9834070860734078
219,-20.0,0.9833316096867336
220,-21.740000000000002,0.9832561390928639
221,-21.15,0.983180674291354
222,-15.880000000000006,0.9831052152817594
223,-15.89,0.9830297620636356
224,-20.53,0.982954314636538
225,-20.06,0.9828788730000223
226,-19.91,0.9828034371536439
227,-21.96,0.9827280070969585
228,-20.55,0.9826525828295217
229,-20.28,0.9825771643508893
230,-22.53,0.9825017516606168
231,-15.080000000000002,0.9824263447582602
232,-19.79,0.982350943643375
233,-20.13,0.9822755483155172
234,-20.0,0.9822001587742426
235,-20.97,0.9821247750191071
236,-22.57,0.9820493970496665
237,-14.700000000000003,0.9819740248654769
238,-20.0,0.9818986584660943
239,-20.43,0.9818232978510745
240,-22.04,0.9817479430199737
241,-20.05,0.9816725939723481
242,-15.700000000000003,0.9815972507077536
243,-19.93,0.9815219132257464
244,-19.61,0.9814465815258828
245,-15.830000000000005,0.981371255607719
246,-20.36,0.9812959354708112
247,-20.31,0.9812206211147156
248,-20.47,0.9811453125389887
249,-20.39,0.9810700097431868
250,-15.930000000000003,0.9809947127268662
251,-20.52,0.9809194214895834
252,-14.65,0.9808441360308949
253,-21.8,0.9807688563503572
254,-20.15,0.9806935824475267
255,-21.330000000000002,0.98061831432196
256,-19.73,0.9805430519732138
257,-21.42,0.9804677954008446
258,-17.759999999999998,0.9803925446044092
259,-23.21,0.9803172995834641
260,-19.88,0.9802420603375663
261,-20.65,0.9801668268662724
262,-20.06,0.9800915991691392
263,-21.21,0.9800163772457235
264,-17.35,0.9799411610955824
265,-20.02,0.9798659507182725
266,-20.47,0.9797907461133509
267,-20.31,0.9797155472803746
268,-20.8,0.9796403542189004
269,-20.0,0.9795651669284855
270,-15.530000000000005,0.9794899854086869
271,-20.33,0.9794148096590618
272,-20.33,0.9793396396791673
273,-19.86,0.9792644754685605
274,-21.55,0.9791893170267988
275,-6.310000000000002,0.9791141643534392
276,-16.38,0.9790390174480391
277,-21.98,0.9789638763101558
278,-21.54,0.9788887409393466
279,-21.04,0.978813611335169
280,-22.080000000000002,0.9787384874971803
281,-20.47,0.978663369424938
282,-20.13,0.9785882571179996
283,-19.71,0.9785131505759225
284,-15.360000000000003,0.9784380497982643
285,-15.620000000000005,0.9783629547845827
286,-19.58,0.9782878655344351
287,-21.63,0.9782127820473794
288,-24.21,0.9781377043229731
289,-15.670000000000003,0.978062632360774
290,-14.99,0.9779875661603397
291,-20.1,0.9779125057212281
292,-20.27,0.9778374510429971
293,-21.86,0.9777624021252045
294,-20.76,0.9776873589674081
295,-21.76,0.9776123215691659
296,-19.46,0.9775372899300359
